player,team,position,age,club,games,minutes,goals,assists,cards_yellow,cards_red,shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,minutes_per_game,fouls,fouled,offsides,crosses,interceptions,tackles_won,goals_per_90,assist_per_90,cards_per_fouls_per_90,bad_discipline,age_binned
Jackson Porozo,Ecuador,DF,25,Tijuana,1,29,0,0,1,0,0,0,0.0,0.0,29.0,2,0,0,0,0,0,0.0,0.0,3.104,3.104,21-25
Joel Ordóñez,Ecuador,DF,22,Club Brugge,3,225,0,0,0,0,2,0,0.0,0.0,75.0,1,1,0,0,1,5,0.0,0.0,0.0,0.0,21-25
John Yeboah,Ecuador,MF,25,Venezia,4,311,0,0,0,0,8,3,0.0,0.0,78.0,0,4,0,11,3,3,0.0,0.0,0.0,0.0,21-25
Jordy Alcivar,Ecuador,MF,26,Independiente,1,45,0,0,1,0,1,0,0.0,0.0,45.0,1,0,0,1,0,1,0.0,0.0,2.0,2.0,26-30
Jordy Caicedo,Ecuador,FW,28,Huracán,3,20,0,0,0,0,1,0,0.0,0.0,7.0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,26-30
Kendry Páez,Ecuador,MF,19,River Plate,1,12,0,0,1,0,0,0,0.0,0.0,12.0,1,0,0,0,0,0,0.0,0.0,7.5,7.5,16-20
Kevin Rodríguez,Ecuador,FW,26,Union SG,4,118,0,1,0,0,6,1,0.0,0.0,30.0,3,2,0,0,0,1,0.0,0.7627,0.0,0.0,26-30
Moisés Caicedo,Ecuador,MF,24,Chelsea,4,360,0,0,1,0,4,1,0.0,0.0,90.0,5,4,0,17,4,6,0.0,0.0,0.25,0.25,21-25
Nilson Angulo,Ecuador,MF,22,Sunderland,4,218,1,0,0,0,2,2,0.5,0.5,55.0,4,3,0,5,2,1,0.4128,0.0,0.0,0.0,21-25
Pedro Vite,Ecuador,MF,24,UNAM,4,360,0,1,0,0,4,1,0.0,0.0,90.0,2,5,0,6,5,11,0.0,0.25,0.0,0.0,21-25
Pervis Estupiñán,Ecuador,MF,28,Milan,2,89,0,0,0,0,0,0,0.0,0.0,45.0,3,0,0,2,0,1,0.0,0.0,0.0,0.0,26-30
Piero Hincapié,Ecuador,DF,24,Arsenal,4,339,0,0,1,1,3,0,0.0,0.0,85.0,5,4,0,14,4,5,0.0,0.0,0.531,1.062,21-25
Willian Pacho,Ecuador,DF,24,PSG,4,360,0,0,0,0,1,1,0.0,0.0,90.0,3,2,0,0,8,2,0.0,0.0,0.0,0.0,21-25
Yaimar Medina,Ecuador,DF,21,Genk,1,45,0,0,0,0,1,0,0.0,0.0,45.0,1,0,0,4,1,0,0.0,0.0,0.0,0.0,21-25
Ángelo Preciado,Ecuador,DF,28,Atlético Mineiro,4,109,0,0,0,0,0,0,0.0,0.0,27.0,0,1,0,7,3,1,0.0,0.0,0.0,0.0,26-30
Ahmed Fatouh,Egypt,DF,28,Unattached,3,267,0,0,1,0,1,1,0.0,0.0,89.0,2,3,0,8,4,5,0.0,0.0,0.3372,0.3372,26-30
Emam Ashour,Egypt,MF,28,Unattached,5,362,2,0,0,0,10,2,0.2,1.0,72.0,2,13,0,4,4,2,0.4973,0.0,0.0,0.0,26-30
Haissem Hassan,Egypt,MF,24,Oviedo,2,126,0,1,2,0,1,0,0.0,0.0,63.0,2,2,0,9,0,1,0.0,0.7144,1.429,1.429,21-25
Hamdy Fathy,Egypt,DF,31,Unattached,4,238,0,0,1,0,0,0,0.0,0.0,60.0,3,2,1,1,2,3,0.0,0.0,0.3782,0.3782,31-35
Hamza Abdelkarim,Egypt,FW,18,Unattached,4,60,0,0,0,0,0,0,0.0,0.0,15.0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,16-20
Hossam Abdelmaguid,Egypt,DF,25,Unattached,2,59,0,0,0,0,0,0,0.0,0.0,30.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,21-25
Ibrahim Adel,Egypt,MF,25,Nordsjælland,1,3,0,0,0,0,0,0,0.0,0.0,3.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21-25
Karim Hafez,Egypt,DF,30,Unattached,3,172,0,1,0,0,1,0,0.0,0.0,57.0,1,2,0,3,3,1,0.0,0.5234,0.0,0.0,26-30
Mahmoud Saber,Egypt,MF,24,Unattached,2,46,1,0,1,0,3,1,0.33,1.0,23.0,2,1,0,1,0,0,1.956,0.0,1.956,1.956,21-25
Marwan Attia,Egypt,MF,27,Unattached,5,434,0,1,2,0,4,0,0.0,0.0,87.0,8,1,0,11,3,3,0.0,0.2074,0.4148,0.4148,26-30
Mohamed Abdelmonem,Egypt,DF,27,Nice,2,14,0,0,0,0,0,0,0.0,0.0,7.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,26-30
Mohamed Hany,Egypt,DF,30,Unattached,5,480,0,1,0,0,4,0,0.0,0.0,96.0,2,1,0,15,6,9,0.0,0.1875,0.0,0.0,26-30
Mohamed Salah,Egypt,FW,33,Liverpool,5,425,1,2,0,0,9,4,0.11,0.25,85.0,5,13,1,14,2,0,0.2118,0.4236,0.0,0.0,31-35
Mohanad Lasheen,Egypt,MF,30,Unattached,4,359,0,0,2,0,2,0,0.0,0.0,90.0,5,3,0,1,8,11,0.0,0.0,0.5015,0.5015,26-30
Mostafa Shobeir,Egypt,GK,26,Unattached,5,480,0,0,1,0,0,0,0.0,0.0,96.0,0,5,0,0,0,0,0.0,0.0,0.1875,0.1875,26-30
Mostafa Ziko,Egypt,FW,29,Unattached,5,370,2,1,0,0,8,3,0.25,0.6665,74.0,6,5,2,2,2,4,0.4866,0.2433,0.0,0.0,26-30
Omar Marmoush,Egypt,FW,27,Manchester City,5,326,0,0,0,0,11,1,0.0,0.0,65.0,3,8,0,5,2,3,0.0,0.0,0.0,0.0,26-30
Ramy Rabia,Egypt,DF,33,Unattached,5,372,0,0,0,0,1,1,0.0,0.0,74.0,3,2,0,0,3,5,0.0,0.0,0.0,0.0,31-35
Trézéguet,Egypt,MF,31,Unattached,4,164,1,1,0,0,8,3,0.13,0.3333,41.0,3,2,0,2,1,0,0.549,0.549,0.0,0.0,31-35
Yasser Ibrahim,Egypt,DF,33,Unattached,5,467,1,0,2,0,1,1,1.0,1.0,93.0,6,3,0,0,3,6,0.1927,0.0,0.3855,0.3855,31-35
Zizo,Egypt,MF,30,Unattached,4,56,0,0,0,0,3,1,0.0,0.0,14.0,2,1,0,6,0,1,0.0,0.0,0.0,0.0,26-30
Anthony Gordon,England,MF,25,Barcelona,6,396,1,3,0,0,6,4,0.17,0.25,66.0,4,10,0,8,3,3,0.2273,0.6816,0.0,0.0,21-25
Bukayo Saka,England,MF,24,Arsenal,7,358,3,3,0,0,13,7,0.15,0.4285,51.0,4,9,4,21,1,7,0.7544,0.7544,0.0,0.0,21-25
Dan Burn,England,DF,34,Newcastle,3,35,0,0,0,0,0,0,0.0,0.0,12.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,31-35
Dean Henderson,England,GK,29,Crystal Palace,1,90,0,0,0,0,0,0,0.0,0.0,90.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,26-30
Declan Rice,England,MF,27,Arsenal,7,557,1,2,2,0,6,3,0.17,0.3333,80.0,4,0,1,44,5,3,0.1616,0.3232,0.3232,0.3232,26-30
Djed Spence,England,DF,25,Tottenham,8,404,0,0,0,0,2,2,0.0,0.0,51.0,3,5,0,6,5,10,0.0,0.0,0.0,0.0,21-25
Eberechi Eze,England,MF,27,Arsenal,5,211,0,1,0,0,5,0,0.0,0.0,42.0,2,4,1,2,0,0,0.0,0.4265,0.0,0.0,26-30
Elliot Anderson,England,MF,23,Nottingham,8,632,0,1,1,0,7,1,0.0,0.0,79.0,9,13,0,8,8,18,0.0,0.1425,0.1425,0.1425,21-25
Ezri Konsa,England,DF,28,Aston Villa,8,647,1,0,0,0,3,2,0.33,0.5,81.0,8,11,0,3,8,5,0.1392,0.0,0.0,0.0,26-30
Harry Kane,England,FW,32,Bayern Munich,7,652,6,1,0,0,23,12,0.17,0.5,93.0,8,9,2,1,1,3,0.828,0.1381,0.0,0.0,31-35
Ivan Toney,England,FW,30,Al-Ahli,2,79,0,0,0,0,2,1,0.0,0.0,40.0,0,3,2,0,0,0,0.0,0.0,0.0,0.0,26-30
Jarell Quansah,England,DF,23,Leverkusen,3,197,0,0,1,1,0,0,0.0,0.0,66.0,2,2,0,1,0,0,0.0,0.0,0.9136,1.827,21-25
John Stones,England,DF,32,Manchester City,5,330,0,0,0,0,1,0,0.0,0.0,66.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,31-35
Jordan Henderson,England,MF,35,Brentford,1,7,0,0,1,0,0,0,0.0,0.0,7.0,0,1,0,2,0,1,0.0,0.0,12.86,12.86,31-35
Jordan Pickford,England,GK,32,Everton,7,660,0,0,0,0,0,0,0.0,0.0,94.0,0,4,0,0,0,0,0.0,0.0,0.0,0.0,31-35
Jude Bellingham,England,MF,22,Real Madrid,8,614,7,1,1,0,19,13,0.37,0.5386,77.0,9,17,1,8,3,10,1.026,0.1466,0.1466,0.1466,21-25
Marc Guéhi,England,DF,25,Manchester City,8,663,0,0,1,0,1,0,0.0,0.0,83.0,4,13,0,0,6,1,0.0,0.0,0.1357,0.1357,21-25
Marcus Rashford,England,MF,28,Barcelona,6,223,1,1,0,0,12,5,0.08,0.2,37.0,5,1,1,17,0,2,0.4036,0.4036,0.0,0.0,26-30
Morgan Rogers,England,MF,23,Aston Villa,7,339,0,1,0,0,3,1,0.0,0.0,48.0,5,5,2,5,0,3,0.0,0.2654,0.0,0.0,21-25
Nico O'Reilly,England,DF,21,Manchester City,7,461,0,0,1,0,7,1,0.0,0.0,66.0,6,4,0,4,5,3,0.0,0.0,0.1952,0.1952,21-25
Noni Madueke,England,MF,24,Arsenal,5,286,0,0,0,0,6,1,0.0,0.0,57.0,2,3,1,21,2,4,0.0,0.0,0.0,0.0,21-25
Ollie Watkins,England,FW,30,Aston Villa,2,52,0,0,0,0,1,0,0.0,0.0,26.0,1,0,0,2,0,1,0.0,0.0,0.0,0.0,26-30
Reece James,England,DF,26,Chelsea,5,319,0,0,0,0,1,0,0.0,0.0,64.0,3,1,0,9,3,3,0.0,0.0,0.0,0.0,26-30
Trevoh Chalobah,England,DF,26,Chelsea,1,1,0,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26-30
Adrien Rabiot,France,MF,31,Milan,7,585,0,1,1,0,9,1,0.0,0.0,84.0,13,4,1,2,11,7,0.0,0.1538,0.1538,0.1538,31-35
Aurélien Tchouaméni,France,MF,26,Real Madrid,4,360,0,1,1,0,3,0,0.0,0.0,90.0,4,3,0,2,6,14,0.0,0.25,0.25,0.25,26-30
Bradley Barcola,France,MF,23,PSG,8,384,3,1,1,0,10,5,0.3,0.6,48.0,5,1,1,3,1,4,0.703,0.2344,0.2344,0.2344,21-25
Dayot Upamecano,France,DF,27,Bayern Munich,8,660,0,1,0,0,4,2,0.0,0.0,83.0,7,4,0,0,15,12,0.0,0.1364,0.0,0.0,26-30
Désiré Doué,France,MF,21,PSG,8,400,1,1,0,0,13,8,0.08,0.125,50.0,4,8,0,3,2,6,0.225,0.225,0.0,0.0,21-25
Ibrahima Konaté,France,DF,27,Liverpool,2,60,0,0,0,0,0,0,0.0,0.0,30.0,2,1,0,0,3,0,0.0,0.0,0.0,0.0,26-30
Jean-Philippe Mateta,France,FW,28,Crystal Palace,3,24,0,0,0,0,3,1,0.0,0.0,8.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,26-30
Jules Koundé,France,DF,27,Barcelona,8,599,0,0,0,0,2,0,0.0,0.0,75.0,6,5,1,12,3,8,0.0,0.0,0.0,0.0,26-30
Kylian Mbappé,France,FW,27,Real Madrid,8,695,10,4,1,0,41,23,0.22,0.4348,87.0,6,8,7,4,0,1,1.295,0.518,0.1295,0.1295,26-30
Lucas Digne,France,DF,32,Aston Villa,6,463,0,0,0,0,2,1,0.0,0.0,77.0,7,2,0,15,2,3,0.0,0.0,0.0,0.0,31-35
Maghnes Akliouche,France,MF,24,Monaco,1,8,0,0,0,0,0,0,0.0,0.0,8.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,21-25
Malo Gusto,France,DF,23,Chelsea,5,121,0,0,0,0,0,0,0.0,0.0,24.0,4,2,0,2,2,3,0.0,0.0,0.0,0.0,21-25
Manu Koné,France,MF,25,Roma,5,385,0,0,1,0,6,2,0.0,0.0,77.0,6,7,0,1,3,5,0.0,0.0,0.2338,0.2338,21-25
Marcus Thuram,France,FW,28,Inter,1,1,0,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26-30
Maxence Lacroix,France,DF,26,Crystal Palace,3,241,0,0,0,0,0,0,0.0,0.0,80.0,5,0,1,0,3,2,0.0,0.0,0.0,0.0,26-30
Michael Olise,France,MF,24,Bayern Munich,8,646,0,7,1,0,20,5,0.0,0.0,81.0,5,16,0,22,3,8,0.0,0.975,0.1393,0.1393,21-25
Mike Maignan,France,GK,30,Milan,8,720,0,0,0,0,0,0,0.0,0.0,90.0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,26-30
Ousmane Dembélé,France,MF,29,PSG,8,592,6,2,0,0,20,10,0.3,0.6,74.0,0,4,3,34,0,2,0.912,0.304,0.0,0.0,26-30
Rayan Cherki,France,MF,22,Manchester City,7,130,0,0,0,0,1,1,0.0,0.0,19.0,2,2,0,1,1,1,0.0,0.0,0.0,0.0,21-25
Theo Hernández,France,DF,28,Al-Hilal,5,257,0,0,0,0,3,0,0.0,0.0,51.0,2,4,0,6,3,1,0.0,0.0,0.0,0.0,26-30
Warren Zaïre-Emery,France,MF,20,PSG,2,110,0,0,0,0,1,0,0.0,0.0,55.0,1,0,0,1,1,0,0.0,0.0,0.0,0.0,16-20
William Saliba,France,DF,25,Arsenal,6,479,0,0,0,0,1,0,0.0,0.0,80.0,4,0,0,0,6,0,0.0,0.0,0.0,0.0,21-25
Aleksandar Pavlovic,Germany,MF,22,Bayern Munich,4,272,0,0,1,0,4,1,0.0,0.0,68.0,13,4,0,1,2,3,0.0,0.0,0.3308,0.3308,21-25
Angelo Stiller,Germany,MF,25,Stuttgart,1,45,0,0,0,0,0,0,0.0,0.0,45.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,21-25
Antonio Rüdiger,Germany,DF,33,Real Madrid,4,262,0,0,0,0,1,0,0.0,0.0,66.0,1,0,0,3,0,0,0.0,0.0,0.0,0.0,31-35
David Raum,Germany,DF,28,RB Leipzig,2,108,0,0,0,0,1,1,0.0,0.0,54.0,2,0,0,13,1,1,0.0,0.0,0.0,0.0,26-30
Deniz Undav,Germany,FW,29,Stuttgart,4,151,3,2,0,0,6,4,0.5,0.75,38.0,3,0,0,1,0,0,1.788,1.192,0.0,0.0,26-30
Felix Nmecha,Germany,MF,25,Dortmund,4,270,1,1,0,0,8,3,0.13,0.3333,68.0,3,3,0,2,2,9,0.3333,0.3333,0.0,0.0,21-25
Florian Wirtz,Germany,MF,23,Liverpool,4,361,0,3,0,0,10,1,0.0,0.0,90.0,1,3,1,13,2,6,0.0,0.748,0.0,0.0,21-25
Jamal Musiala,Germany,MF,23,Bayern Munich,4,270,1,0,1,0,6,1,0.17,1.0,68.0,5,11,0,5,1,5,0.3333,0.0,0.3333,0.3333,21-25
Jamie Leweling,Germany,FW,25,Stuttgart,1,31,0,0,0,0,1,0,0.0,0.0,31.0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,21-25
Jonathan Tah,Germany,DF,30,Bayern Munich,4,372,0,0,0,0,1,1,0.0,0.0,93.0,5,1,0,1,1,3,0.0,0.0,0.0,0.0,26-30
Joshua Kimmich,Germany,DF,31,Bayern Munich,4,351,0,2,0,0,5,1,0.0,0.0,88.0,0,7,0,31,4,4,0.0,0.5127,0.0,0.0,31-35
Kai Havertz,Germany,FW,27,Arsenal,4,353,3,0,1,0,12,7,0.17,0.4285,88.0,3,4,1,1,1,2,0.7646,0.0,0.255,0.255,26-30
Leon Goretzka,Germany,MF,31,Bayern Munich,3,99,0,0,0,0,2,0,0.0,0.0,33.0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,31-35
Leroy Sané,Germany,MF,30,Galatasaray,4,326,1,0,0,0,6,2,0.17,0.5,82.0,3,2,1,10,2,3,0.2761,0.0,0.0,0.0,26-30
Malick Thiaw,Germany,DF,24,Newcastle,2,42,0,0,0,0,0,0,0.0,0.0,21.0,1,1,0,0,0,2,0.0,0.0,0.0,0.0,21-25
Manuel Neuer,Germany,GK,40,Bayern Munich,4,390,0,0,0,0,0,0,0.0,0.0,98.0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,36-40
Maximilian Beier,Germany,FW,23,Dortmund,1,27,0,0,0,0,0,0,0.0,0.0,27.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,21-25
Nadiem Amiri,Germany,MF,29,Mainz 05,2,42,0,1,0,0,2,1,0.0,0.0,21.0,0,0,0,2,0,1,0.0,2.143,0.0,0.0,26-30
Nathaniel Brown,Germany,DF,22,Frankfurt,3,282,1,1,0,0,3,2,0.33,0.5,94.0,4,1,0,17,2,6,0.319,0.319,0.0,0.0,21-25
Nick Woltemade,Germany,FW,24,Newcastle,1,33,0,0,0,0,2,0,0.0,0.0,33.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,21-25
Nico Schlotterbeck,Germany,DF,26,Dortmund,2,135,1,0,0,0,2,2,0.5,0.5,68.0,2,1,0,0,3,2,0.6665,0.0,0.0,0.0,26-30
Pascal Groß,Germany,DF,34,Brighton,1,18,0,0,0,0,1,0,0.0,0.0,18.0,1,0,0,1,0,2,0.0,0.0,0.0,0.0,31-35
Waldemar Anton,Germany,DF,29,Dortmund,2,50,0,0,0,0,1,1,0.0,0.0,25.0,3,1,1,1,2,1,0.0,0.0,0.0,0.0,26-30
Abdul Fatawu Issahaku,Ghana,FW,22,Leicester City,4,132,0,0,1,0,3,0,0.0,0.0,33.0,1,7,0,7,0,0,0.0,0.0,0.6816,0.6816,21-25
Abdul Rahman Baba,Ghana,DF,31,PAOK,1,1,0,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,31-35
Alidu Seidu,Ghana,DF,26,Rennes,1,78,0,0,1,0,0,0,0.0,0.0,78.0,1,0,0,1,1,1,0.0,0.0,1.154,1.154,26-30
Antoine Semenyo,Ghana,MF,26,Manchester City,4,360,0,0,0,0,6,0,0.0,0.0,90.0,6,4,4,5,0,2,0.0,0.0,0.0,0.0,26-30
Benjamin Asare,Ghana,GK,33,Unattached,3,225,0,0,0,0,0,0,0.0,0.0,75.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,31-35
Brandon Thomas-Asante,Ghana,FW,27,Coventry City,2,53,0,0,0,0,1,0,0.0,0.0,27.0,0,1,1,1,0,0,0.0,0.0,0.0,0.0,26-30
Caleb Yirenkyi,Ghana,MF,20,Nordsjælland,4,264,1,0,2,0,2,1,0.5,1.0,66.0,7,3,0,1,3,1,0.3408,0.0,0.6816,0.6816,16-20
Derrick Luckassen,Ghana,DF,30,Unattached,2,180,1,0,0,0,1,1,1.0,1.0,90.0,1,2,0,0,0,1,0.5,0.0,0.0,0.0,26-30
Elisha Owusu,Ghana,MF,28,Auxerre,3,151,0,0,0,0,0,0,0.0,0.0,50.0,2,0,0,3,0,3,0.0,0.0,0.0,0.0,26-30
Ernest Nuamah,Ghana,MF,22,Lyon,3,89,0,1,0,0,0,0,0.0,0.0,30.0,2,2,0,1,0,1,0.0,1.012,0.0,0.0,21-25
Gideon Mensah,Ghana,DF,27,Auxerre,4,360,0,0,0,0,0,0,0.0,0.0,90.0,2,3,0,3,8,5,0.0,0.0,0.0,0.0,26-30
Iñaki Williams,Ghana,MF,31,Athletic Club,2,126,0,0,1,0,3,0,0.0,0.0,63.0,2,1,1,4,1,0,0.0,0.0,0.7144,0.7144,31-35
Jerome Opoku,Ghana,DF,27,Başakşehir,3,270,0,0,0,0,0,0,0.0,0.0,90.0,2,4,0,0,1,2,0.0,0.0,0.0,0.0,26-30
Jonas Adjetey,Ghana,DF,22,Wolfsburg,3,225,0,0,0,0,2,1,0.0,0.0,75.0,1,0,0,0,1,3,0.0,0.0,0.0,0.0,21-25
Jordan Ayew,Ghana,FW,34,Leicester City,4,300,0,0,0,0,0,0,0.0,0.0,75.0,7,7,1,10,1,3,0.0,0.0,0.0,0.0,31-35
Kamaldeen Sulemana,Ghana,MF,24,Atlanta Utd,2,127,0,0,0,0,1,0,0.0,0.0,64.0,2,1,1,4,1,2,0.0,0.0,0.0,0.0,21-25
Kojo Peprah Oppong,Ghana,DF,22,Nice,2,49,0,0,1,0,0,0,0.0,0.0,25.0,1,0,0,0,0,0,0.0,0.0,1.837,1.837,21-25
